9,1568
17,9597
23,4641
32,2457
35,8771
38,973
42,9464
54,6741
63,6139
69,3500
74,4179
91,6811
100,2037
105,7042
108,231
118,98
119,9898
121,5355
138,7231
143,2702
148,7441
196,2177
203,8603
220,1372
221,9030
231,5705
240,6447
252,4949
264,7875
266,5530
269,8925
273,1309
276,2373
283,5201
284,1407
290,679
299,7630
317,3801
330,1365
332,7189
336,1799
339,350
345,6461
348,4515
353,966
354,2331
356,2275
373,1344
378,6937
382,2926
388,1029
397,7259
400,3031
410,6594
438,9870
440,7462
443,1932
447,9457
448,7749
457,6993
463,8393
465,8827
467,4536
471,1743
473,287
482,5264
485,476
492,7903
494,3157
497,2576
498,9072
499,4781
511,5341
520,8512
522,8757
524,7931
526,8869
531,4417
545,4970
549,6517
551,1939
552,3976
554,707
559,2891
565,9877
573,91
581,7224
584,7756
589,637
592,3332
594,6916
595,8582
599,5852
600,3668
610,9352
611,4130
614,1547
615,2583
618,2450
627,6986
629,5334
646,7847
650,5460
654,8729
656,1330
658,3409
709,3199
717,5754
726,4802
735,4592
737,4823
739,3514
741,2541
742,7588
755,3493
759,8960
762,1953
764,784
772,9121
773,2534
776,7637
784,2366
792,3213
795,4865
809,1848
821,798
830,9009
832,5999
833,8547
851,1834
860,4725
865,2548
868,7007
869,2695
874,8736
883,5474
889,5908
891,9912
903,3626
907,6342
915,6748
922,7476
928,3850
949,889
961,2779
962,2254
968,7700
971,2380
988,2688
997,6391
1000,7868
1005,3661
1006,6552
1022,5565
1026,1729
1047,8442
1055,987
1066,5635
1080,4697
1082,3640
1083,6510
1086,8253
1094,8498
1099,1694
1100,1456
1108,6524
1119,6013
1121,2632
1125,3017
1134,665
1140,4746
1144,3115
1145,6923
1161,5978
1162,1358
1165,3521
1179,7210
1191,8421
1198,8302
1213,924
1216,6944
1229,4704
1230,6951
1234,1806
1235,7133
1240,833
1241,9499
1243,1862
1255,9842
1256,8666
1265,9310
1273,4599
1283,2604
1286,4585
1303,4326
1304,3892
1309,7315
1313,1736
1319,7126
1321,623
1327,3073
1334,9037
1336,3472
1341,1442
1343,5306
1347,5621
1349,4690
1351,5362
1355,4025
